TREE_ID,SCIENTIFIC_NAME,COMMON_NAME,DBH_INCHES,LATITUDE,LONGITUDE,CONDITION
TR-1028,Ulmus crassifolia,Cedar Elm,26,30.250420685200144,-97.73892156955151,Fair
TR-1029,Quercus virginiana,,45,30.251177475337528,-97.74865199343779,Good
TR-1030,Quercus texana,,20,30.255569545279293,-97.74029171001699,Fair
TR-1031,Platanus occidentalis,American Sycamore,35,30.266149939955334,-97.74619180171275,Good
TR-1032,Platanus occidentalis,American Sycamore,31,30.259340493360735,-97.7354184830108,Good
TR-1033,Quercus virginiana,Southern Live Oak,26,30.266011850217236,-97.7478146193551,Fair
TR-1034,Ulmus crassifolia,Cedar Elm,13,30.25843763279669,-97.74442909710666,Fair
TR-1035,Quercus virginiana,Southern Live Oak,40,30.251958174564034,-97.73695710212003,Good
TR-1036,Quercus virginiana,Southern Live Oak,20,30.25332622221208,-97.74028717749098,Fair
TR-1037,Platanus occidentalis,American Sycamore,15,30.25757946237954,-97.7302938231244,Critical
TR-1038,Platanus occidentalis,American Sycamore,40,30.263237426239016,-97.74026657176691,Fair
TR-1039,Quercus texana,Texas Red Oak,8,30.261583605816327,-97.7391560959725,Critical
TR-1040,Quercus virginiana,,35,30.260057007658393,-97.73294560215903,Fair
TR-1041,Quercus virginiana,Southern Live Oak,10,30.267026850906884,-97.74862957334592,Good
TR-1042,Ulmus crassifolia,Cedar Elm,41,30.254924306955775,-97.73810961692932,Good
TR-1043,Platanus occidentalis,American Sycamore,41,30.26045565431064,-97.73130587484526,Fair
TR-1044,Quercus texana,Texas Red Oak,30,30.252617565642552,-97.73708998422325,Dead
TR-1045,Quercus texana,Texas Red Oak,9,30.250186309137685,-97.73757681489013,Good
TR-1046,Quercus virginiana,Southern Live Oak,37,30.25530400829501,-97.73133481244012,Good
TR-1047,Ulmus crassifolia,Cedar Elm,15,30.258763691460157,-97.73913564075477,Critical
TR-1048,Quercus virginiana,Southern Live Oak,40,30.255987575044003,-97.73673222570068,Fair
TR-1049,Quercus texana,,11,30.264848333679623,-97.74689104180449,Critical
TR-1050,Ulmus crassifolia,Cedar Elm,18,30.263749942576027,-97.73294174369215,Dead
TR-1051,Quercus texana,Texas Red Oak,8,30.251845969354257,-97.74152848454872,Critical
TR-1052,Quercus virginiana,,13,30.26274226754603,-97.74476089475131,Dead
TR-1053,Platanus occidentalis,American Sycamore,12,30.251504877201477,-97.732337872134,Fair
TR-1054,Quercus virginiana,Southern Live Oak,42,30.2610505019349,-97.74140426574237,Good
TR-1055,Quercus texana,Texas Red Oak,7,30.26797849273053,-97.7457984692332,Fair
TR-1056,Quercus virginiana,Southern Live Oak,40,30.267682694029023,-97.74187245220335,Fair
TR-1057,Ulmus crassifolia,Cedar Elm,16,30.26762832409327,-97.74950427276202,Critical
TR-1058,Platanus occidentalis,American Sycamore,20,30.25533611419189,-97.73425250981728,Good
TR-1059,Platanus occidentalis,American Sycamore,35,30.254448674350915,-97.73366826788805,Dead
TR-1060,Quercus texana,Texas Red Oak,19,30.25445847094412,-97.73679933634502,Dead
TR-1061,Quercus texana,Texas Red Oak,9,30.269337782080967,-97.74441750014556,Dead
TR-1062,Quercus texana,Texas Red Oak,12,30.267540768231513,-97.7447756960722,Critical
TR-1063,Quercus virginiana,,32,30.256913742233596,-97.73427143643592,Dead
TR-1064,Quercus virginiana,Southern Live Oak,41,30.253801575490048,-97.74911226932574,Dead
TR-1065,Quercus virginiana,Southern Live Oak,39,30.263737142938293,-97.73119473759205,Fair
TR-1066,Quercus texana,Texas Red Oak,26,30.26246310819893,-97.73673225047469,Good
TR-1067,Quercus texana,Texas Red Oak,31,30.256523658097148,-97.7360558317161,Fair
TR-1068,Ulmus crassifolia,Cedar Elm,29,30.263546358905455,-97.73194388908534,Critical
TR-1069,Platanus occidentalis,American Sycamore,5,30.25607749898537,-97.74579634630234,Critical
TR-1070,Platanus occidentalis,American Sycamore,18,30.260223479937494,-97.73412529201788,Fair
TR-1071,Quercus virginiana,Southern Live Oak,45,30.262385216107248,-97.74813225599848,Fair
TR-1072,Quercus texana,Texas Red Oak,17,30.252947079244915,-97.74907572563814,Dead
TR-1073,Quercus virginiana,Southern Live Oak,45,30.261513417988187,-97.73563308169001,Dead
TR-1074,Platanus occidentalis,American Sycamore,14,30.263121160222237,-97.74988910363723,Good
TR-1075,Platanus occidentalis,American Sycamore,38,30.259290997691487,-97.73885188411933,Good
TR-1076,Platanus occidentalis,,34,30.263351554651727,-97.73024215093866,Critical
TR-1077,Platanus occidentalis,American Sycamore,37,30.258534815137175,-97.73186290539087,Dead
TR-1078,Ulmus crassifolia,Cedar Elm,35,30.25900139514494,-97.73496446426998,Critical
TR-1079,Platanus occidentalis,American Sycamore,22,30.2587974518653,-97.73572910274777,Fair
TR-1080,Quercus texana,Texas Red Oak,39,30.251611553153154,-97.74698338683973,Dead
TR-1081,Ulmus crassifolia,Cedar Elm,9,30.258297357917964,-97.74338237217923,Dead
TR-1082,Platanus occidentalis,,31,30.25778953625334,-97.7346040845537,Good
TR-1083,Platanus occidentalis,American Sycamore,27,30.25597225304745,-97.74220026703873,Dead
TR-1084,Ulmus crassifolia,Cedar Elm,22,30.258716719520933,-97.74941950360106,Critical
TR-1085,Platanus occidentalis,American Sycamore,34,30.26839083241338,-97.73038556044962,Good
TR-1086,Platanus occidentalis,American Sycamore,6,30.251678949243242,-97.74142774460677,Dead
TR-1087,Ulmus crassifolia,,29,30.256547053338835,-97.74090601349967,Critical
TR-1088,Platanus occidentalis,American Sycamore,31,30.25504543063565,-97.74836187534476,Good
TR-1089,Quercus virginiana,Southern Live Oak,27,30.254484443314396,-97.74862763259094,Good
TR-1090,Quercus virginiana,Southern Live Oak,17,30.266784576925694,-97.73757328686827,Fair
TR-1091,Ulmus crassifolia,Cedar Elm,12,30.261279391638602,-97.74564070918187,Critical
TR-1092,Quercus texana,,43,30.269274694882025,-97.73563285542808,Fair
TR-1093,Quercus texana,,6,30.268577743368144,-97.73848406543175,Dead
TR-1094,Platanus occidentalis,American Sycamore,17,30.251519929556864,-97.73618771168134,Fair
TR-1095,Quercus virginiana,Southern Live Oak,24,30.267005864781776,-97.73799176770366,Good
TR-1096,Quercus virginiana,Southern Live Oak,32,30.26323042681375,-97.7486208652696,Critical
TR-1097,Quercus virginiana,Southern Live Oak,36,30.25211077741288,-97.73078424865571,Dead
TR-1098,Ulmus crassifolia,Cedar Elm,38,30.269309474624762,-97.74459835207225,Dead
TR-1099,Platanus occidentalis,American Sycamore,42,30.255367910760985,-97.73296573679961,Good
TR-1100,Quercus texana,Texas Red Oak,20,30.265009525636543,-97.73860300710643,Dead
